First ,Middle,Last,University,Elsevier ID,Comments about Elsevier IDs,Home department,Secondary department (if any),Note:
Justin,A,Kitzes,Berkeley,12801961000,,Energy & Resources Group,,
Jey,,Kottalam,Berkeley,56050848100,,Engineering Research Center,,
Kevin,,Koy,Berkeley,6507543002,,Institute for Data Science,,
Tsuyoshi,,Kunihama,University of Washington - Seattle,37120467400,,Department of Sociology,,
Laurel,G,Larsen,Berkeley,23969559100,,Department of Geography,,
Ed,,Lazowska,University of Washington - Seattle,24802384500,,Department of Computer Science and Engineering,,
Adrian,K. C.,Lee,University of Washington - Seattle,35484356000,,Department of Speech and Hearing Sciences,,
Charlotte,,Lee,University of Washington - Seattle,35092769000,,Department of Human Centered Design & Engineering,,
Randy,,LeVeque,University of Washington - Seattle,7003657764,,Department of Applied Mathematics,,
Max,,Lieblich,University of Washington - Seattle,10040543400,,Department of Mathematics,,
Jie,,Liu,University of Washington - Seattle,56076810200,Hard to find,Department of Electrical Engineering,,
Parker,,MacCready,University of Washington - Seattle,26642886600,,Department of Physical Oceanography,,School of Oceanography
Michael,W,Mahoney,Berkeley,7202006961,,Department of Statistics,,
Benjamin,,Mako Hill,University of Washington - Seattle,35772345700,,Department of Communication,,
Ben,,Marwick,University of Washington - Seattle,8572128400,,Department of Anthropology,,
Tyler,,McCormick,University of Washington - Seattle,36061039400,,Department of Statistics,Department of Sociology,
Victoria,,Meadows,University of Washington - Seattle,6602412939,,Department of Astronomy,,
Marina,,Meila,University of Washington - Seattle,6507125871,,Department of Statistics,,
Xiaofeng,,Meng,University of Washington - Seattle,55832058300,Hard to find,Department of Earth & Space Sciences,,
Edward,,Miguel,Berkeley,56010228700,,Engineering Research Center,,
Brent,D,Mishler,Berkeley,6601958116,,Department of Integrative Biology,,
Erik,,Mitchell,Berkeley,24071588400,,Library Administration,,
Robert,M,Nadeau,Berkeley,7101915128,,Berkeley Seismological Lab,,
Gina,,Neff,University of Washington - Seattle,34868596300,,Department of Communication,,
Jasmine,,Nirody,Berkeley,55156107300,,"Department of Environmental Science, Policy and Management",,
William,,Noble,University of Washington - Seattle,7102482003,,Department of Computer Science and Engineering,,
Peter,,Nugent,Berkeley,7004614529,,Department of Astronomy,,
Kellie,,Ottoboni,Berkeley,None,,Institute for Data Science,,
Lior,,Pachter,Berkeley,7006316240,,Department of Molecular & Cell Biology,,
Carole,L,Palmer,University of Washington - Seattle,7403081906,,Information School,,
Shwetak,,Patel,University of Washington - Seattle,8450420300,,Department of Computer Science and Engineering,,
Donald,B,Percival,University of Washington - Seattle,7006657487,,Department of Statistics,,
Fernando,,Perez,Berkeley,23493713400,,Institute for Data Science,,
Saul,,Perlmutter,Berkeley,35273021600,,Department of Physics,,
Jim,,Pfaendtner,University of Washington - Seattle,8924119700,,Department of Chemical Engineering,,
Zoran,,Popovic,University of Washington - Seattle,35176314800,,Department of Computer Science and Engineering,,
Daniel,,Promislow,University of Washington - Seattle,7004253021,,Department of Biology,,
Hong,,Qian,University of Washington - Seattle,7101674211,,Department of Applied Mathematics,,
Tom,R,Quinn,University of Washington - Seattle,7402746313,,Department of Astronomy,,
Adrian,E,Raftery,University of Washington - Seattle,7006212242,,Department of Statistics,Department of Sociology,
Karthik,,Ram,Berkeley,15751626600,,Museum of Paleontology,,
Chance,,Reschke,University of Washington - Seattle,7801369638,,UW Information Technology,,
David,,Ribes,University of Washington - Seattle,56262941900,,Department of Human Centered Design & Engineering,,
Thomas,S,Richardson,University of Washington - Seattle,36907688100,,Department of Statistics,,
Jeff,,Richey,University of Washington - Seattle,7006589757,,Department of Chemical Oceanography,,School of Oceanography
Steven,,Roberts,University of Washington - Seattle,55366464800,,School of Aquatic and Fishery Sciences,,
David,J,Schlegel,Berkeley,35352423900,,Institute for Data Science,,
Jasjeet,S,Sekhon,Berkeley,6701386664,,Department of Political Science,Department of Statistics,Institute for Data Science
James,,Sethian,Berkeley,7005832375,,Department of Mathematics,,
Eric,,Shea-Brown,University of Washington - Seattle,15065850600,,Department of Applied Mathematics,,
Ali,,Shojaie,University of Washington - Seattle,26321182700,,Department of Biostatistics,,
Stephan,,Siegel,University of Washington - Seattle,16305430100,,Department of Finance & Business Economics,,
Kimmen,,Sjolander,Berkeley,6701490066,55959478900,Department of Bioengineering,,
Rachel,,Slaybaugh,Berkeley,25641892300,,Engineering Research Center,,
Nathaniel ,J,Smith,Berkeley,56404757400,,Institute for Data Science,,
K,Allison,Smith,University of Washington - Seattle,24174765500,Goes by K A S Mislan,Department of Chemical Oceanography,,School of Oceanography
Noah,A,Smith,University of Washington - Seattle,37044239600,,Department of Computer Science and Engineering,,
Mani,,Soma,University of Washington - Seattle,35447121700,,Department of Electrical Engineering,,
Kate,,Starbird,University of Washington - Seattle,35793979100,,Department of Human Centered Design & Engineering,,
Philip,B,Stark,Berkeley,7101748197,,Department of Statistics,,
Kari,A,Stephens,University of Washington - Seattle,36170954000,,Department of Psychiatry & Behavioral Sciences,,
Ion,,Stoica,Berkeley,7007009125,,Department of Electrical Engineering and Computer Science,,
Werner,,Stuetzle,University of Washington - Seattle,6603949599,,Department of Statistics,,
Dan,,Suciu,University of Washington - Seattle,7006812452,,Department of Computer Science and Engineering,,
